seed_subset,rho,control,branch,svd_minus_control_pp,ci95_low_pp,ci95_high_pp
3418,1/4,learned,mean,2.486073978443193,-2.035266216248419,7.054995004053928
3418,1/4,svd_self,cfp,2.342040310929705,-2.8011324958816415,7.605387259705861
3418,1/4,svd_self,oct,2.630107645956681,-4.2501770326066906,9.494231849610198
3418,1/4,svd_self,mean,2.486073978443193,-2.035266216248419,7.054995004053928
3418,1/4,svd_scrambled,cfp,0.6524616721985232,-3.1429532879288673,4.389606934116603
3418,1/4,svd_scrambled,oct,-0.060620850674075744,-4.174403855702184,4.137220432139409
3418,1/4,svd_scrambled,mean,0.29592041076222375,-2.8891073671312495,3.4676475244651934
3418,1/4,svd_resample,cfp,0.3766498213755298,-3.8979704831772195,4.731673898150257
3418,1/4,svd_resample,oct,-2.461363923048121,-7.9334429192393365,3.1459758608558603
3418,1/4,svd_resample,mean,-1.0423570508362956,-5.110272910951663,3.0095401572500156
3418,1/4,qr_radon,cfp,0.6583854041496418,-3.126758905698241,4.3890410915612375
3418,1/4,qr_radon,oct,-1.084446416744711,-5.078564804002896,2.9286981312955285
3418,1/4,qr_radon,mean,-0.21303050629753462,-3.5059295655402085,3.0767285818635446
all3,1/16,no_bridge,cfp,3.3543803297823396,0.37766063545334744,6.3501114681452
all3,1/16,no_bridge,oct,4.273062207793973,0.2238962456249158,8.393742662957036
all3,1/16,no_bridge,mean,3.8137212687881563,1.2879933535735608,6.431168478083757
all3,1/16,learned,cfp,0.36294160538051423,-2.2462214485605236,3.0063859654901828
all3,1/16,learned,oct,0.7611817675871453,-2.1832920391460706,3.7197313890440156
all3,1/16,learned,mean,0.5620616864838297,-1.638862509242235,2.7446491241454267
all3,1/16,svd_self,cfp,3.3543803297823396,0.37766063545334744,6.3501114681452
all3,1/16,svd_self,oct,4.273062207793973,0.2238962456249158,8.393742662957036
all3,1/16,svd_self,mean,3.8137212687881563,1.2879933535735608,6.431168478083757
all3,1/16,svd_scrambled,cfp,1.6272233537735399,-0.7059236788119017,3.995191913906705
all3,1/16,svd_scrambled,oct,3.723979149883679,0.8937944619316228,6.464906138159302
all3,1/16,svd_scrambled,mean,2.67560125182861,0.7558122780705624,4.6523453865303175
all3,1/16,svd_resample,cfp,3.0345806513449576,0.23770954102473124,5.8529620668775495
all3,1/16,svd_resample,oct,4.277423927612337,0.32214340757845356,8.312438944406626
all3,1/16,svd_resample,mean,3.6560022894786472,1.1594603815941933,6.202485916475037
all3,1/16,qr_radon,cfp,3.468961114280311,0.6872652591265958,6.361034058676325
all3,1/16,qr_radon,oct,3.260125883181094,-0.328430451060173,6.863951917743899
all3,1/16,qr_radon,mean,3.364543498730703,0.9600179033187028,5.7902550816154665
all3,1/8,no_bridge,cfp,4.536849701874276,1.2092727259016998,7.867953318600092
all3,1/8,no_bridge,oct,4.357098061913015,-0.7997953658810965,9.56596953562904
all3,1/8,no_bridge,mean,4.446973881893646,1.4003784494538147,7.631638539021532
all3,1/8,learned,cfp,2.943184198267383,0.25643940184398695,5.654123411007482
all3,1/8,learned,oct,2.0102256109756538,-1.1618295941947043,5.361995426791175
all3,1/8,learned,mean,2.4767049046215184,0.05830630347880582,4.946235660677229
all3,1/8,svd_self,cfp,4.536849701874276,1.2092727259016998,7.867953318600092
all3,1/8,svd_self,oct,4.357098061913015,-0.7997953658810965,9.56596953562904
all3,1/8,svd_self,mean,4.446973881893646,1.4003784494538147,7.631638539021532
all3,1/8,svd_scrambled,cfp,3.748889181178198,1.331476494234411,6.201578621733119
all3,1/8,svd_scrambled,oct,0.4238707407325089,-2.200069412284668,3.1507065024027927
all3,1/8,svd_scrambled,mean,2.0863799609553535,0.07399885323789883,4.100326281984835
all3,1/8,svd_resample,cfp,3.6372961076438393,0.8626987726061275,6.370371195329459
all3,1/8,svd_resample,oct,3.849507512943795,-0.9131645969571365,8.674570580628247
all3,1/8,svd_resample,mean,3.7434018102938174,0.8673229425869764,6.67588538423049
all3,1/8,qr_radon,cfp,0.7572929081807807,-1.4736447868194609,2.96697921206213
all3,1/8,qr_radon,oct,2.1458710355005017,-0.6010337217894257,4.959191415243167
all3,1/8,qr_radon,mean,1.451581971840641,-0.48031709687369656,3.4431613038366073
all3,1/4,no_bridge,cfp,4.830867567521372,0.798251441097755,8.85669433768887
all3,1/4,no_bridge,oct,3.8130218136895357,-1.1559377407988003,8.795484397825597
all3,1/4,no_bridge,mean,4.321944690605454,1.1029923057039714,7.615679352304702
all3,1/4,learned,cfp,2.1399560739517876,-0.6605779086439111,4.902873056098835
all3,1/4,learned,oct,0.20878971482277686,-2.735461739269911,3.1836553317680956
all3,1/4,learned,mean,1.1743728943872822,-1.2271586066143858,3.607313555997913
all3,1/4,svd_self,cfp,4.830867567521372,0.798251441097755,8.85669433768887
all3,1/4,svd_self,oct,3.8130218136895357,-1.1559377407988003,8.795484397825597
all3,1/4,svd_self,mean,4.321944690605454,1.1029923057039714,7.615679352304702
all3,1/4,svd_scrambled,cfp,2.2972986035790455,-0.10166859845048531,4.785430290384168
all3,1/4,svd_scrambled,oct,0.029326196880326744,-2.5966344372003367,2.6395597492044733
all3,1/4,svd_scrambled,mean,1.163312400229686,-1.0088630847920583,3.3561753911127097
all3,1/4,svd_resample,cfp,2.895129752565935,-0.24458438969766041,6.059811005838387
all3,1/4,svd_resample,oct,1.8180438482266175,-2.068713407898947,5.721997219716157
all3,1/4,svd_resample,mean,2.3565868003962764,-0.270698728720022,5.004534828015688
all3,1/4,qr_radon,cfp,0.9105913120709297,-1.6310845600170079,3.4518083587520434
all3,1/4,qr_radon,oct,-1.1556568788798218,-3.8264596108620554,1.488802904121544
