seed,method,rho,channel_rank,h,cfp_f1_percent,oct_f1_percent,mean_f1_percent,cfp_gain_vs_baseline_pp,oct_gain_vs_baseline_pp,mean_gain_vs_baseline_pp,best_epoch,stop_epoch,total_parameters,bridge_stored,bridge_effective,gpu_minutes,peak_process_mib,directory,summary_sha256
3418,Centered-fit SVD / scrambled Radon,1/16,16,512,68.91324200913243,65.87487301243051,67.39405751078147,3.0352530802960445,1.687318796113118,2.361285938204574,13,19,47484292,3145728,3145728,5.435198546800044,7906,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3418_centered_svd_scrambled_rho1_16,4c27159a086345742096445c4565a2df3d54740ba64ee385c3119af0b96158dd
3418,Centered-fit SVD / linear resampling,1/16,16,512,65.87798892883639,64.1875542163174,65.03277157257689,0.0,0.0,0.0,0,8,47484292,3145728,3145728,2.301227043183462,7848,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3418_centered_svd_resample_rho1_16,ce9bc9ec6f89104805899fc9862d8057f77301528e32c739509f760772e8fdd5
3418,Centered-fit SVD / Radon,1/8,32,1024,67.82277351214657,64.78609013955617,66.30443182585137,1.944784583310181,0.5985359232387708,1.2716602532744758,3,9,56921476,12582912,12582912,2.796661298400189,8012,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3418_centered_svd_radon_rho1_8,408611bbf8a5e9722526745cc62bfad16bd5925ae0ace760aa249cd1e6625302
3418,Centered-fit SVD / self only,1/8,32,1024,65.87798892883639,64.1875542163174,65.03277157257689,0.0,0.0,0.0,0,8,56921476,12582912,6291456,2.531700649449825,8012,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3418_centered_svd_self_rho1_8,68713855da390ea4fd862b3f258ca4abea8d7095bd9538b57dae5d72dda434fb
3418,Centered-fit SVD / scrambled Radon,1/8,32,1024,65.02667049039289,66.7948717948718,65.91077114263234,-0.8513184384434993,2.607317578554401,0.8779995700554508,12,18,56921476,12582912,12582912,5.354208486266725,8012,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3418_centered_svd_scrambled_rho1_8,8092fdaaa2ea30f7073aefe4e4bc2d9ec9053218b78bd93be0d905204172bb32
3418,Centered-fit SVD / linear resampling,1/8,32,1024,65.87798892883639,64.1875542163174,65.03277157257689,0.0,0.0,0.0,0,8,56921476,12582912,12582912,2.3364741729831926,8154,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3418_centered_svd_resample_rho1_8,7bf15326e9c569ce5f5ede2c2fa3dce098f0beb015cf7fcadd070e248375289a
3418,Centered-fit SVD / Radon,1/4,64,2048,67.88744618406477,65.84680413548867,66.86712515977672,2.0094572552283836,1.6592499191712733,1.8343535871998284,7,13,94670212,50331648,50331648,4.392459773899948,8144,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3418_centered_svd_radon_rho1_4,a993ec27fdedae54c284b32b247a8a4c493f9eec2bcaa8346a991b0c7b82c72d
3418,Centered-fit SVD / self only,1/4,64,2048,65.87798892883639,64.1875542163174,65.03277157257689,0.0,0.0,0.0,0,8,94670212,50331648,25165824,2.833391909666777,8144,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3418_centered_svd_self_rho1_4,185de197acd48bc7d286bbaa9bde89e2bef1017cd2b78ad44e19104b364ad40f
3418,Centered-fit SVD / scrambled Radon,1/4,64,2048,69.54453996707517,67.82277351214657,68.68365673961087,3.6665510382387794,3.635219295829174,3.6508851670339766,6,12,94670212,50331648,50331648,4.112861314516825,8144,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3418_centered_svd_scrambled_rho1_4,eccaa9196dd05fedfbae5afca4196ee58648e88a2ec68513efbe7427bfb4cf5a
3418,Centered-fit SVD / linear resampling,1/4,64,2048,65.8311903537345,67.77262048020171,66.80190541696811,-0.04679857510188867,3.5850662638843147,1.7691338443912201,8,14,94670212,50331648,50331648,4.299483911633433,8096,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3418_centered_svd_resample_rho1_4,e84e14459079e724cd1b0b2a19f8dc9fc94d639072ed7e38ef92187e33280b18
