subset,rho,contrast,branch,difference_pp,ci95_low,ci95_high
3417,1/8,channel_svd_scrambled__minus__centered_svd_scrambled,cfp,-2.0271195726612845,-6.488502865534669,2.4610016454549832
3417,1/8,channel_svd_scrambled__minus__centered_svd_scrambled,oct,-4.710973872144697,-10.271716860477923,0.8310057184010853
3417,1/8,channel_svd_scrambled__minus__centered_svd_scrambled,mean,-3.3690467224029907,-6.861353701145633,0.17558978304614842
3417,1/8,channel_svd_resample__minus__svd_resample,cfp,0.0,0.0,0.0
3417,1/8,channel_svd_resample__minus__svd_resample,oct,0.0,0.0,0.0
3417,1/8,channel_svd_resample__minus__svd_resample,mean,0.0,0.0,0.0
3417,1/8,channel_svd_resample__minus__centered_svd_resample,cfp,-0.5880592938987017,-4.6750428108141255,3.4422397659866917
3417,1/8,channel_svd_resample__minus__centered_svd_resample,oct,0.16260466577621147,-4.565028360053994,4.903355700111783
3417,1/8,channel_svd_resample__minus__centered_svd_resample,mean,-0.21272731406124512,-3.337357049123376,2.9566055958183592
3417,1/8,channel_svd_radon__minus__no_bridge,cfp,3.624889726685243,-0.39401088445561916,7.758363946793133
3417,1/8,channel_svd_radon__minus__no_bridge,oct,4.019402225933167,-1.6322258201456101,9.676674847090805
3417,1/8,channel_svd_radon__minus__no_bridge,mean,3.822145976309205,0.2668172836908742,7.362344688993808
3417,1/8,channel_svd_radon__minus__learned,cfp,1.594538543691093,-2.774234576107306,6.02147506309072
3417,1/8,channel_svd_radon__minus__learned,oct,2.3757660885160625,-2.744507912920516,7.540976166717889
3417,1/8,channel_svd_radon__minus__learned,mean,1.9851523161035778,-1.8208508966920791,5.849663256728604
3417,1/8,channel_svd_radon__minus__qr_radon,cfp,-1.5974829767933185,-5.95880938386081,2.7333103729854797
3417,1/8,channel_svd_radon__minus__qr_radon,oct,4.735134146898856,-0.027326351205183,9.700159937440354
3417,1/8,channel_svd_radon__minus__qr_radon,mean,1.5688255850527688,-1.9853499148972003,5.118440589341203
3417,1/8,channel_svd_radon__minus__channel_svd_self,cfp,3.624889726685243,-0.39401088445561916,7.758363946793133
3417,1/8,channel_svd_radon__minus__channel_svd_self,oct,4.019402225933167,-1.6322258201456101,9.676674847090805
3417,1/8,channel_svd_radon__minus__channel_svd_self,mean,3.822145976309205,0.2668172836908742,7.362344688993808
3417,1/8,channel_svd_radon__minus__channel_svd_scrambled,cfp,1.9335602077692249,-2.464512377640789,6.271243980305346
3417,1/8,channel_svd_radon__minus__channel_svd_scrambled,oct,4.365922546074019,-0.8182298376877031,9.579469655169476
3417,1/8,channel_svd_radon__minus__channel_svd_scrambled,mean,3.149741376921622,-0.2990632935722079,6.546276949274827
3417,1/8,channel_svd_radon__minus__channel_svd_resample,cfp,3.624889726685243,-0.39401088445561916,7.758363946793133
