subset,rho,mechanism,branch,centered_minus_uncentered_pp,ci95_low,ci95_high
3418,1/8,svd_scrambled,oct,-1.3960921707400487,-5.578649213887603,2.731785894679152
3418,1/8,svd_scrambled,mean,-0.7842748019574519,-3.983146379904354,2.493315050439506
3418,1/8,svd_resample,cfp,0.0,-4.788189493721184,4.799237453464525
3418,1/8,svd_resample,oct,-1.1949444077882676,-6.096619071299545,3.5192855693740817
3418,1/8,svd_resample,mean,-0.5974722038941338,-3.77238767266516,2.4825013116628876
3418,1/4,svd_radon,cfp,-0.33258305570131874,-4.924702207124397,4.292350655826095
3418,1/4,svd_radon,oct,-0.9708577267854124,-6.111033787927044,4.223032293392656
3418,1/4,svd_radon,mean,-0.6517203912433656,-5.203026515760819,3.907474242961845
3418,1/4,svd_self,cfp,0.0,0.0,0.0
3418,1/4,svd_self,oct,0.0,0.0,0.0
3418,1/4,svd_self,mean,0.0,0.0,0.0
3418,1/4,svd_scrambled,cfp,1.9769723995076038,-2.1247852560556892,6.327910000535225
3418,1/4,svd_scrambled,oct,0.9444907991984053,-2.720647080028831,4.631685654762756
3418,1/4,svd_scrambled,mean,1.4607315993530046,-1.7095924351485055,4.62828708206466
3418,1/4,svd_resample,cfp,-2.012189064656056,-6.140577666534399,2.052635836600323
3418,1/4,svd_resample,oct,-1.506405305120495,-6.71160905778065,3.64462175134018
3418,1/4,svd_resample,mean,-1.7592971848882755,-5.270581174081761,1.7297523466102374
all3,1/16,svd_radon,cfp,-0.6167871582796229,-2.901312792231549,1.7300866516771582
all3,1/16,svd_radon,oct,-1.2476573979032013,-3.7410300767246434,1.3347535336433565
all3,1/16,svd_radon,mean,-0.9322222780914121,-2.778932038339466,1.005605801834842
all3,1/16,svd_self,cfp,0.0,0.0,0.0
all3,1/16,svd_self,oct,0.0,0.0,0.0
all3,1/16,svd_self,mean,0.0,0.0,0.0
all3,1/16,svd_scrambled,cfp,0.2995973711814851,-2.1100014402077423,2.627530273322732
all3,1/16,svd_scrambled,oct,2.127408756730316,-0.38413618455049936,4.550006180662836
all3,1/16,svd_scrambled,mean,1.2135030639559008,-0.5966463313942062,2.9905603478006606
all3,1/16,svd_resample,cfp,-0.31979967843738244,-1.6884214194146097,1.060699909403217
all3,1/16,svd_resample,oct,0.004361719818365048,-1.4239758787016237,1.42354478337615
all3,1/16,svd_resample,mean,-0.15771897930950868,-1.1380703386482107,0.8476865735290712
all3,1/8,svd_radon,cfp,0.3590545542220972,-2.0938540226314686,2.874069464161062
