id,seed,backbone_lr,arm,rho,r,h,cfp_f1_percent,oct_f1_percent,fusion_f1_percent,native_probability_average_f1_percent,mean_native_f1_percent,parameters,fusion_parameters,communication_parameters,best_epoch,stop_epoch,gpu_seconds,peak_process_mib
seed3417_bb3e-05_svd_rho1_4,3417,3e-05,svd_rho1_4,0.25,64,2048,66.65079272896219,66.90117877277176,67.33840525001452,67.83773994929373,66.77598575086698,94933126,262914,50331648,6,12,249.91381046999595,8148
seed3417_bb3e-05_mmtm_r4,3417,3e-05,mmtm_r4,,,,61.42308395829523,57.73119323699092,66.88584474885845,63.850938766192996,59.57713859764308,44864390,262914,262912,9,13,366.48715694699786,7932
seed3417_bb3e-05_mmtm_r8,3417,3e-05,mmtm_r8,,,,62.75451841683826,58.10045662100456,69.58209636903403,67.19940595190495,60.42748751892141,44733190,262914,131712,4,10,168.11372142998152,7930
seed3417_bb3e-05_attention_d128,3417,3e-05,attention_d128,,,,63.47182229535171,60.47252182845404,68.56349994861077,64.49420231907237,61.972172061902874,44865926,262914,264448,13,19,529.7901979890012,8140
seed3417_bb3e-05_attention_d256,3417,3e-05,attention_d256,,,,63.511847692096964,60.461691269651,67.82277351214657,68.52036090431919,61.98676948087398,45128838,262914,527360,11,17,280.6966137390118,8180
seed3417_bb6e-05_concat_mlp,3417,6e-05,concat_mlp,,,,63.51351351351351,58.778643525498644,68.39023045919598,67.44718874581864,61.14607851950608,44601478,262914,0,11,17,284.91926524200244,7800
seed3417_bb6e-05_gated_mil,3417,6e-05,gated_mil,,,,60.461691269651,57.237204182718756,66.21467378897867,64.47797016972399,58.84944772618488,44864390,525826,0,6,12,198.80753721299698,7804
seed3417_bb6e-05_svd_rho1_16,3417,6e-05,svd_rho1_16,0.0625,16,512,67.56608683741953,66.74004769767015,68.57211357331232,67.88744618406477,67.15306726754484,47747206,262914,3145728,11,17,474.30966991902096,7910
seed3417_bb6e-05_svd_rho1_8,3417,6e-05,svd_rho1_8,0.125,32,1024,69.32006633499171,70.58091049294568,70.48650507134262,71.20984998455218,69.95048841396869,57184390,262914,12582912,20,26,460.2106804669893,7978
seed3417_bb6e-05_svd_rho1_4,3417,6e-05,svd_rho1_4,0.25,64,2048,68.24179336163996,65.43956043956044,67.56608683741953,67.51417596488018,66.8406769006002,94933126,262914,50331648,6,12,432.6125975519826,8148
seed3417_bb6e-05_mmtm_r4,3417,6e-05,mmtm_r4,,,,58.249078431140134,55.916406437665145,66.44336803050604,69.59320641008081,57.08274243440263,44864390,262914,262912,7,13,213.74120290600695,7932
seed3417_bb6e-05_mmtm_r8,3417,6e-05,mmtm_r8,,,,61.09491970969769,61.78899868623979,68.71323529411765,69.15501505834392,61.44195919796874,44733190,262914,131712,14,20,558.9853819540003,7930
seed3417_bb6e-05_attention_d128,3417,6e-05,attention_d128,,,,67.54385964912281,67.19940595190495,69.9293435456071,68.91891891891892,67.37163280051388,44865926,262914,264448,12,18,294.4747656809923,8140
seed3417_bb6e-05_attention_d256,3417,6e-05,attention_d256,,,,68.09759677123463,69.7803269285919,69.68015928735024,69.74979043944562,68.93896184991327,45128838,262914,527360,21,22,633.2367693069973,8180
seed3418_bb3e-05_concat_mlp,3418,3e-05,concat_mlp,,,,62.465299594447934,61.12690853860472,69.7803269285919,68.55200776832125,61.796104066526325,44601478,262914,0,24,30,468.0308482479886,7800
