arm,seed,r,stages,phase,split,source,bridge,C,rho,h,M,S,k,group,participants,metric,mean,sample_sd,defined_participants,undefined_participants
svd_radon,3416,16,[3],selected,train,cfp_stage3,0,256,0.0625,512,32,64,3,label0,632,self_cross_cosine,0.3751157629268934,0.04169153915795177,632,0
svd_radon,3416,16,[3],selected,train,cfp_stage3,0,256,0.0625,512,32,64,3,label0,632,energy_identity_relative_error,7.895458378464812e-17,6.609378441733741e-17,632,0
svd_radon,3416,16,[3],selected,train,cfp_stage3,0,256,0.0625,512,32,64,3,label0,632,channel_energy_retained,0.589827932822512,0.02063910756315977,632,0
svd_radon,3416,16,[3],selected,train,cfp_stage3,0,256,0.0625,512,32,64,3,label1,632,self_relative,0.4236175205607591,0.014645026639604574,632,0
svd_radon,3416,16,[3],selected,train,cfp_stage3,0,256,0.0625,512,32,64,3,label1,632,cross_relative,0.3018182501099793,0.02076030514829183,632,0
svd_radon,3416,16,[3],selected,train,cfp_stage3,0,256,0.0625,512,32,64,3,label1,632,total_relative,0.6005021762023348,0.024802486451338094,632,0
svd_radon,3416,16,[3],selected,train,cfp_stage3,0,256,0.0625,512,32,64,3,label1,632,self_cross_cosine,0.35244894936694837,0.04402813822645446,632,0
svd_radon,3416,16,[3],selected,train,cfp_stage3,0,256,0.0625,512,32,64,3,label1,632,energy_identity_relative_error,6.993401622588878e-17,6.128948561362815e-17,632,0
svd_radon,3416,16,[3],selected,train,cfp_stage3,0,256,0.0625,512,32,64,3,label1,632,channel_energy_retained,0.5824424689408921,0.021911087188556663,632,0
svd_radon,3416,16,[3],selected,train,oct_stage3,0,256,0.0625,512,32,64,3,all,1264,self_relative,0.9672153740926572,0.0535203682504139,1264,0
svd_radon,3416,16,[3],selected,train,oct_stage3,0,256,0.0625,512,32,64,3,all,1264,cross_relative,1.2079386167945165,0.12713852906023534,1264,0
svd_radon,3416,16,[3],selected,train,oct_stage3,0,256,0.0625,512,32,64,3,all,1264,total_relative,1.5125041575803346,0.09824776796664966,1264,0
svd_radon,3416,16,[3],selected,train,oct_stage3,0,256,0.0625,512,32,64,3,all,1264,self_cross_cosine,-0.045653657917047306,0.06149764864338939,1264,0
svd_radon,3416,16,[3],selected,train,oct_stage3,0,256,0.0625,512,32,64,3,all,1264,energy_identity_relative_error,7.931093645332152e-17,5.898047375591887e-17,1264,0
svd_radon,3416,16,[3],selected,train,oct_stage3,0,256,0.0625,512,32,64,3,all,1264,channel_energy_retained,0.5048326965251559,0.025805935666575998,1264,0
svd_radon,3416,16,[3],selected,train,oct_stage3,0,256,0.0625,512,32,64,3,label0,632,self_relative,0.9564998899741188,0.051684425988465614,632,0
svd_radon,3416,16,[3],selected,train,oct_stage3,0,256,0.0625,512,32,64,3,label0,632,cross_relative,1.1166329301036988,0.06999191861481677,632,0
svd_radon,3416,16,[3],selected,train,oct_stage3,0,256,0.0625,512,32,64,3,label0,632,total_relative,1.4508857817799827,0.06703792876870879,632,0
svd_radon,3416,16,[3],selected,train,oct_stage3,0,256,0.0625,512,32,64,3,label0,632,self_cross_cosine,-0.025833508170108436,0.06347598735974518,632,0
svd_radon,3416,16,[3],selected,train,oct_stage3,0,256,0.0625,512,32,64,3,label0,632,energy_identity_relative_error,7.787684310507723e-17,5.737867649235237e-17,632,0
svd_radon,3416,16,[3],selected,train,oct_stage3,0,256,0.0625,512,32,64,3,label0,632,channel_energy_retained,0.5070021427278568,0.024761520938007323,632,0
svd_radon,3416,16,[3],selected,train,oct_stage3,0,256,0.0625,512,32,64,3,label1,632,self_relative,0.977930858211197,0.05321759219334384,632,0
svd_radon,3416,16,[3],selected,train,oct_stage3,0,256,0.0625,512,32,64,3,label1,632,cross_relative,1.299244303485334,0.10370765918358284,632,0
svd_radon,3416,16,[3],selected,train,oct_stage3,0,256,0.0625,512,32,64,3,label1,632,total_relative,1.5741225333806856,0.08497516396142456,632,0
svd_radon,3416,16,[3],selected,train,oct_stage3,0,256,0.0625,512,32,64,3,label1,632,self_cross_cosine,-0.06547380766398622,0.052476589097772364,632,0
svd_radon,3416,16,[3],selected,train,oct_stage3,0,256,0.0625,512,32,64,3,label1,632,energy_identity_relative_error,8.074502980156581e-17,6.055141019174032e-17,632,0
svd_radon,3416,16,[3],selected,train,oct_stage3,0,256,0.0625,512,32,64,3,label1,632,channel_energy_retained,0.5026632503224556,0.026653089563700324,632,0
svd_radon,3416,16,[3],selected,validation,cfp_stage3,0,256,0.0625,512,32,64,3,all,296,self_relative,0.4257515050277427,0.013898055438070486,296,0
svd_radon,3416,16,[3],selected,validation,cfp_stage3,0,256,0.0625,512,32,64,3,all,296,cross_relative,0.31780142219924534,0.02515935691456279,296,0
svd_radon,3416,16,[3],selected,validation,cfp_stage3,0,256,0.0625,512,32,64,3,all,296,total_relative,0.6173615878475135,0.027398074192892117,296,0
svd_radon,3416,16,[3],selected,validation,cfp_stage3,0,256,0.0625,512,32,64,3,all,296,self_cross_cosine,0.3651181783241725,0.04139110979097781,296,0
svd_radon,3416,16,[3],selected,validation,cfp_stage3,0,256,0.0625,512,32,64,3,all,296,energy_identity_relative_error,7.810022424524479e-17,6.10217555491652e-17,296,0
svd_radon,3416,16,[3],selected,validation,cfp_stage3,0,256,0.0625,512,32,64,3,all,296,channel_energy_retained,0.5868229386205468,0.021448478700071476,296,0
svd_radon,3416,16,[3],selected,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label0,148,self_relative,0.4265347674717308,0.012511439740997844,148,0
svd_radon,3416,16,[3],selected,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label0,148,cross_relative,0.322348858242408,0.025379436752543193,148,0
