arm,bridge,checkpoint_sha256,dc_gain,kernel,maximum_gain,minimum_gain,nyquist_gain,r,receiver,role,seed,sender,stages,width_in,width_out,zero_operator
svd_multidepth,1,ba2eaf6db7fc6ef41b2a57a4a65a0a753bf0ada168a487003230d9321a7c4592,1.3598743884349067,3,1.3598743884349067,0.06162817908300339,0.4518937076162398,16,oct_stage3,self,3417,oct_stage3,"[2, 3]",512,512,False
svd_multidepth,0,16de3f71ac129094696df1ea957f79b47d2fe85226566b137ee97f7831871fa1,0.0,3,0.0,0.0,0.0,16,cfp_stage2,self,3417,cfp_stage2,"[2, 3, 4]",512,512,True
svd_multidepth,0,16de3f71ac129094696df1ea957f79b47d2fe85226566b137ee97f7831871fa1,0.0,3,0.0,0.0,0.0,16,cfp_stage2,cross,3417,oct_stage2,"[2, 3, 4]",512,512,True
svd_multidepth,0,16de3f71ac129094696df1ea957f79b47d2fe85226566b137ee97f7831871fa1,0.0,3,0.0,0.0,0.0,16,oct_stage2,cross,3417,cfp_stage2,"[2, 3, 4]",512,512,True
svd_multidepth,0,16de3f71ac129094696df1ea957f79b47d2fe85226566b137ee97f7831871fa1,0.0,3,0.0,0.0,0.0,16,oct_stage2,self,3417,oct_stage2,"[2, 3, 4]",512,512,True
svd_multidepth,1,16de3f71ac129094696df1ea957f79b47d2fe85226566b137ee97f7831871fa1,0.0,3,0.0,0.0,0.0,16,cfp_stage3,self,3417,cfp_stage3,"[2, 3, 4]",512,512,True
svd_multidepth,1,16de3f71ac129094696df1ea957f79b47d2fe85226566b137ee97f7831871fa1,0.0,3,0.0,0.0,0.0,16,cfp_stage3,cross,3417,oct_stage3,"[2, 3, 4]",512,512,True
svd_multidepth,1,16de3f71ac129094696df1ea957f79b47d2fe85226566b137ee97f7831871fa1,0.0,3,0.0,0.0,0.0,16,oct_stage3,cross,3417,cfp_stage3,"[2, 3, 4]",512,512,True
svd_multidepth,1,16de3f71ac129094696df1ea957f79b47d2fe85226566b137ee97f7831871fa1,0.0,3,0.0,0.0,0.0,16,oct_stage3,self,3417,oct_stage3,"[2, 3, 4]",512,512,True
svd_multidepth,2,16de3f71ac129094696df1ea957f79b47d2fe85226566b137ee97f7831871fa1,0.0,3,0.0,0.0,0.0,16,cfp_stage4,self,3417,cfp_stage4,"[2, 3, 4]",512,512,True
svd_multidepth,2,16de3f71ac129094696df1ea957f79b47d2fe85226566b137ee97f7831871fa1,0.0,3,0.0,0.0,0.0,16,cfp_stage4,cross,3417,oct_stage4,"[2, 3, 4]",512,512,True
svd_multidepth,2,16de3f71ac129094696df1ea957f79b47d2fe85226566b137ee97f7831871fa1,0.0,3,0.0,0.0,0.0,16,oct_stage4,cross,3417,cfp_stage4,"[2, 3, 4]",512,512,True
svd_multidepth,2,16de3f71ac129094696df1ea957f79b47d2fe85226566b137ee97f7831871fa1,0.0,3,0.0,0.0,0.0,16,oct_stage4,self,3417,oct_stage4,"[2, 3, 4]",512,512,True
svd_radon,0,9d3ee67bef6f7e38be1d70fcec5a29d4354f933b1866570381983cd186d8deb4,1.419308078428768,3,1.419308078428768,0.19053834514989101,0.4593044848245217,16,cfp_stage3,self,3418,cfp_stage3,[3],512,512,False
svd_radon,0,9d3ee67bef6f7e38be1d70fcec5a29d4354f933b1866570381983cd186d8deb4,1.391035273756583,3,1.391035273756583,0.14760387278193488,0.4560174371285186,16,cfp_stage3,cross,3418,oct_stage3,[3],512,512,False
svd_radon,0,9d3ee67bef6f7e38be1d70fcec5a29d4354f933b1866570381983cd186d8deb4,2.2738139129492074,3,2.2738139129492074,0.1851009947239548,0.7464128226251534,16,oct_stage3,cross,3418,cfp_stage3,[3],512,512,False
svd_radon,0,9d3ee67bef6f7e38be1d70fcec5a29d4354f933b1866570381983cd186d8deb4,1.229153658173753,3,1.229153658173753,0.09445654637330851,0.4066691270532564,16,oct_stage3,self,3418,oct_stage3,[3],512,512,False
