defined,mean,metric,phase,sample_sd,seed,source,split,undefined
16,0.0008565417998439791,zeroth_moment_l1_normalized,selected,6.0060884392706246e-06,3417,oct,validation,0
16,5.6776659334644214e-05,first_moment_l1_radius_normalized,selected,6.615087915135934e-06,3417,oct,validation,0
16,0.001788771355113872,full_band_nrmse,selected,5.454731402665769e-05,3417,cfp,test,0
16,0.0009247558461273605,low_band_nrmse,selected,1.3114588717573169e-05,3417,cfp,test,0
16,0.002541166319467735,absolute_rmse,selected,0.0001120769599105685,3417,cfp,test,0
16,1.4206488495266671,reference_rms,selected,0.04556064063715332,3417,cfp,test,0
16,0.00038033477841265933,zeroth_moment_l1_normalized,selected,1.1791216851345977e-05,3417,cfp,test,0
16,8.876028731121685e-05,first_moment_l1_radius_normalized,selected,4.023454564777096e-06,3417,cfp,test,0
16,0.002381127141125928,full_band_nrmse,selected,3.564259755204743e-05,3417,oct,test,0
16,0.0015075531365605931,low_band_nrmse,selected,1.554008072999388e-05,3417,oct,test,0
16,0.004882080370337796,absolute_rmse,selected,0.0001272750011863869,3417,oct,test,0
16,2.0507447300893267,reference_rms,selected,0.06103776523791086,3417,oct,test,0
16,0.0008561467909304857,zeroth_moment_l1_normalized,selected,7.291761462865877e-06,3417,oct,test,0
16,5.764611436885448e-05,first_moment_l1_radius_normalized,selected,6.7731678401664395e-06,3417,oct,test,0
16,0.001981535209381894,full_band_nrmse,constructed_initial,5.652103195038785e-05,3418,cfp,train,0
16,0.0009962830520444665,low_band_nrmse,constructed_initial,1.6487998460945802e-05,3418,cfp,train,0
16,0.0028546017923051156,absolute_rmse,constructed_initial,5.7975967118927415e-05,3418,cfp,train,0
16,1.441209677121473,reference_rms,constructed_initial,0.03216182762007905,3418,cfp,train,0
16,0.00040215967083516527,zeroth_moment_l1_normalized,constructed_initial,1.520468125706271e-05,3418,cfp,train,0
16,0.00010399306560120946,first_moment_l1_radius_normalized,constructed_initial,3.622234247715745e-06,3418,cfp,train,0
16,0.0024933251908345385,full_band_nrmse,constructed_initial,4.8530763620950575e-05,3418,oct,train,0
16,0.001499796576851255,low_band_nrmse,constructed_initial,1.57577241502529e-05,3418,oct,train,0
16,0.005341997826858053,absolute_rmse,constructed_initial,0.00012492092841675427,3418,oct,train,0
16,2.142648363543488,reference_rms,constructed_initial,0.036801075383436896,3418,oct,train,0
16,0.0008339703971440874,zeroth_moment_l1_normalized,constructed_initial,5.984184606173776e-06,3418,oct,train,0
16,6.804814822081137e-05,first_moment_l1_radius_normalized,constructed_initial,5.232343417310385e-06,3418,oct,train,0
16,0.001968666856593625,full_band_nrmse,constructed_initial,6.383032902837112e-05,3418,cfp,validation,0
16,0.0009928626940978388,low_band_nrmse,constructed_initial,1.7806753613087975e-05,3418,cfp,validation,0
16,0.00286722288447294,absolute_rmse,constructed_initial,8.546405713178672e-05,3418,cfp,validation,0
16,1.4568986005894857,reference_rms,constructed_initial,0.033524773454607894,3418,cfp,validation,0
16,0.0003984366971280253,zeroth_moment_l1_normalized,constructed_initial,1.2789245130311473e-05,3418,cfp,validation,0
16,0.00010296270492080064,first_moment_l1_radius_normalized,constructed_initial,3.326733087752033e-06,3418,cfp,validation,0
16,0.0024934027314857327,full_band_nrmse,constructed_initial,4.6200088340672564e-05,3418,oct,validation,0
16,0.0014985122196041242,low_band_nrmse,constructed_initial,1.5689898680172632e-05,3418,oct,validation,0
16,0.005360209265312598,absolute_rmse,constructed_initial,0.00017585480747131117,3418,oct,validation,0
16,2.1500321397207465,reference_rms,constructed_initial,0.0680732075393725,3418,oct,validation,0
16,0.000834251766915134,zeroth_moment_l1_normalized,constructed_initial,7.5659435346031345e-06,3418,oct,validation,0
16,6.629417887688834e-05,first_moment_l1_radius_normalized,constructed_initial,5.911105483261477e-06,3418,oct,validation,0
16,0.0019716430264010536,full_band_nrmse,constructed_initial,7.9632440980893e-05,3418,cfp,test,0
16,0.000989735887687732,low_band_nrmse,constructed_initial,2.42721826215254e-05,3418,cfp,test,0
16,0.002843684477423874,absolute_rmse,constructed_initial,9.070358672582494e-05,3418,cfp,test,0
16,1.4433177474211192,reference_rms,constructed_initial,0.04253820625995844,3418,cfp,test,0
16,0.0004043982868450197,zeroth_moment_l1_normalized,constructed_initial,1.6622876079527487e-05,3418,cfp,test,0
16,0.0001022763317784129,first_moment_l1_radius_normalized,constructed_initial,5.101881997063816e-06,3418,cfp,test,0
16,0.00247978256048204,full_band_nrmse,constructed_initial,4.942803644729997e-05,3418,oct,test,0
16,0.001491981217918531,low_band_nrmse,constructed_initial,1.6085780969240076e-05,3418,oct,test,0
16,0.005411787768378895,absolute_rmse,constructed_initial,0.00010213011871092855,3418,oct,test,0
16,2.1830119061789146,reference_rms,constructed_initial,0.0533266883545634,3418,oct,test,0
16,0.0008361567529865434,zeroth_moment_l1_normalized,constructed_initial,6.82267690490848e-06,3418,oct,test,0
16,6.535365406164142e-05,first_moment_l1_radius_normalized,constructed_initial,5.961988808124813e-06,3418,oct,test,0
16,0.0018810225110629372,full_band_nrmse,selected,4.1819448826438276e-05,3418,cfp,train,0
16,0.0009552717592718354,low_band_nrmse,selected,1.5442751649463078e-05,3418,cfp,train,0
16,0.002653482581257794,absolute_rmse,selected,5.611116660248308e-05,3418,cfp,train,0
16,1.4110329779772082,reference_rms,selected,0.03236211296898737,3418,cfp,train,0
16,0.00038699914463692197,zeroth_moment_l1_normalized,selected,1.1439156754262318e-05,3418,cfp,train,0
16,0.00010624157282575303,first_moment_l1_radius_normalized,selected,4.5737712234894805e-06,3418,cfp,train,0
16,0.0024191546450575523,full_band_nrmse,selected,4.486062780399163e-05,3418,oct,train,0
16,0.0015217176068038551,low_band_nrmse,selected,1.3497237538994191e-05,3418,oct,train,0
16,0.004919846741749183,absolute_rmse,selected,0.00015423787321210207,3418,oct,train,0
16,2.0334298774715434,reference_rms,selected,0.03859243851314826,3418,oct,train,0
16,0.0008660058125681326,zeroth_moment_l1_normalized,selected,3.4687172241484884e-06,3418,oct,train,0
16,5.963399090246933e-05,first_moment_l1_radius_normalized,selected,5.7722456999608e-06,3418,oct,train,0
16,0.001865193575865363,full_band_nrmse,selected,5.003724119482096e-05,3418,cfp,validation,0
16,0.000953076232352239,low_band_nrmse,selected,1.4782549278373557e-05,3418,cfp,validation,0
16,0.002659182550638881,absolute_rmse,selected,5.2992286283395336e-05,3418,cfp,validation,0
16,1.4261731057240437,reference_rms,selected,0.02870014896862419,3418,cfp,validation,0
16,0.00038688976266938036,zeroth_moment_l1_normalized,selected,1.2212714239205026e-05,3418,cfp,validation,0
16,0.00010446015539673302,first_moment_l1_radius_normalized,selected,3.5797447889425364e-06,3418,cfp,validation,0
16,0.0023946086805977738,full_band_nrmse,selected,4.564337903697979e-05,3418,oct,validation,0
16,0.0015214993195187018,low_band_nrmse,selected,1.1861936259548382e-05,3418,oct,validation,0
16,0.004784261448563153,absolute_rmse,selected,0.00011493911330005478,3418,oct,validation,0
16,1.9979341482259048,reference_rms,selected,0.02931315371788608,3418,oct,validation,0
16,0.0008684719705255977,zeroth_moment_l1_normalized,selected,4.271672736291969e-06,3418,oct,validation,0
16,5.8366622965621325e-05,first_moment_l1_radius_normalized,selected,4.596316620434225e-06,3418,oct,validation,0
16,0.0018701654092176624,full_band_nrmse,selected,5.612764492368733e-05,3418,cfp,test,0
16,0.0009472431471861858,low_band_nrmse,selected,2.3760607847359973e-05,3418,cfp,test,0
16,0.002650624386381955,absolute_rmse,selected,6.746239544169981e-05,3418,cfp,test,0
16,1.4183027093498184,reference_rms,selected,0.04993748306183868,3418,cfp,test,0
16,0.00038864105120674176,zeroth_moment_l1_normalized,selected,1.3149692159865895e-05,3418,cfp,test,0
16,0.00010410026422428989,first_moment_l1_radius_normalized,selected,6.436964258443314e-06,3418,cfp,test,0
16,0.002397255701953027,full_band_nrmse,selected,5.2041365844541556e-05,3418,oct,test,0
16,0.0015143656452914916,low_band_nrmse,selected,1.482837745222776e-05,3418,oct,test,0
16,0.004857302834645245,absolute_rmse,selected,0.00014519027278629617,3418,oct,test,0
16,2.02601879651081,reference_rms,selected,0.03157028395981138,3418,oct,test,0
16,0.0008682212912326976,zeroth_moment_l1_normalized,selected,4.789784746201986e-06,3418,oct,test,0
16,5.878426564226572e-05,first_moment_l1_radius_normalized,selected,5.7507622242481665e-06,3418,oct,test,0
