id,kind,seed,mode,best_epoch,stop_epoch,seconds,cfp_f1_percent,oct_f1_percent,branch_mean_f1_percent,host,backbone_lr,host_best_epoch,state
switch_branch_mmtm_hidden256_lr6e-05_seed3416_augment_radon_new_only,component_diagnostic,3416,radon,,,,70.83810658479585,69.54453996707517,70.1913232759355,mmtm_hidden256,6e-05,0,new_only
switch_branch_mmtm_hidden256_lr6e-05_seed3416_augment_radon_both_off,component_diagnostic,3416,radon,,,,37.6588667625314,36.26794258373206,36.963404673131734,mmtm_hidden256,6e-05,0,both_off
switch_branch_mmtm_hidden256_lr6e-05_seed3416_augment_linear_resample_both_on,component_diagnostic,3416,linear_resample,,,,66.8903803131991,65.13545347467608,66.01291689393759,mmtm_hidden256,6e-05,0,both_on
switch_branch_mmtm_hidden256_lr6e-05_seed3416_augment_linear_resample_host_only,component_diagnostic,3416,linear_resample,,,,66.8903803131991,65.13545347467608,66.01291689393759,mmtm_hidden256,6e-05,0,host_only
switch_branch_mmtm_hidden256_lr6e-05_seed3416_augment_linear_resample_new_only,component_diagnostic,3416,linear_resample,,,,66.8903803131991,65.13545347467608,66.01291689393759,mmtm_hidden256,6e-05,0,new_only
switch_branch_mmtm_hidden256_lr6e-05_seed3416_augment_linear_resample_both_off,component_diagnostic,3416,linear_resample,,,,66.8903803131991,65.13545347467608,66.01291689393759,mmtm_hidden256,6e-05,0,both_off
switch_branch_mmtm_hidden256_lr6e-05_seed3417_augment_radon_both_on,component_diagnostic,3417,radon,,,,66.48941644653333,63.511847692096964,65.00063206931515,mmtm_hidden256,6e-05,0,both_on
switch_branch_mmtm_hidden256_lr6e-05_seed3417_augment_radon_host_only,component_diagnostic,3417,radon,,,,59.30517532009516,36.79898906270426,48.052082191399705,mmtm_hidden256,6e-05,0,host_only
switch_branch_mmtm_hidden256_lr6e-05_seed3417_augment_radon_new_only,component_diagnostic,3417,radon,,,,66.38485804416405,62.810672514619895,64.59776527939198,mmtm_hidden256,6e-05,0,new_only
switch_branch_mmtm_hidden256_lr6e-05_seed3417_augment_radon_both_off,component_diagnostic,3417,radon,,,,56.03603603603604,33.924585218702866,44.98031062736945,mmtm_hidden256,6e-05,0,both_off
switch_branch_mmtm_hidden256_lr6e-05_seed3417_augment_linear_resample_both_on,component_diagnostic,3417,linear_resample,,,,63.847637745842235,64.1875542163174,64.01759598107981,mmtm_hidden256,6e-05,0,both_on
switch_branch_mmtm_hidden256_lr6e-05_seed3417_augment_linear_resample_host_only,component_diagnostic,3417,linear_resample,,,,63.847637745842235,64.1875542163174,64.01759598107981,mmtm_hidden256,6e-05,0,host_only
switch_branch_mmtm_hidden256_lr6e-05_seed3417_augment_linear_resample_new_only,component_diagnostic,3417,linear_resample,,,,63.847637745842235,64.1875542163174,64.01759598107981,mmtm_hidden256,6e-05,0,new_only
switch_branch_mmtm_hidden256_lr6e-05_seed3417_augment_linear_resample_both_off,component_diagnostic,3417,linear_resample,,,,63.847637745842235,64.1875542163174,64.01759598107981,mmtm_hidden256,6e-05,0,both_off
switch_branch_mmtm_hidden256_lr6e-05_seed3418_augment_radon_both_on,component_diagnostic,3418,radon,,,,67.56164383561645,69.35817805383022,68.45991094472333,mmtm_hidden256,6e-05,0,both_on
switch_branch_mmtm_hidden256_lr6e-05_seed3418_augment_radon_host_only,component_diagnostic,3418,radon,,,,52.2343594836147,33.33333333333333,42.78384640847402,mmtm_hidden256,6e-05,0,host_only
