id,primary,seeds,rhos,branches,difference_pp,ci95_low,ci95_high,simultaneous95_low,simultaneous95_high,bootstrap_sd_pp,classification,zero_variance
"qr_geometry_seeds[3418]_rhos[0.0625, 0.125, 0.25]_branches[0]",False,[3418],"[0.0625, 0.125, 0.25]",['cfp'],0.3272137510257451,-2.689777150260827,3.351185836013325,,,1.5387202679803007,secondary_no_simultaneous_classification,False
"qr_geometry_seeds[3418]_rhos[0.0625, 0.125, 0.25]_branches[1]",False,[3418],"[0.0625, 0.125, 0.25]",['oct'],2.0919800743284043,-2.381622257189272,6.445214956651196,,,2.2558327014905015,secondary_no_simultaneous_classification,False
"qr_geometry_seeds[3418]_rhos[0.0625, 0.125, 0.25]_branches[0, 1]",False,[3418],"[0.0625, 0.125, 0.25]","['cfp', 'oct']",1.2095969126770747,-1.4035619299594622,3.766208016768912,,,1.3146675057025612,secondary_no_simultaneous_classification,False
qr_geometry_seeds[3418]_rhos[0.0625]_branches[0],False,[3418],[0.0625],['cfp'],-0.3437423534939228,-4.424538983830463,3.7268900962764944,,,2.123325617356513,secondary_no_simultaneous_classification,False
qr_geometry_seeds[3418]_rhos[0.0625]_branches[1],False,[3418],[0.0625],['oct'],3.0388089738386412,-1.7766978624454108,7.830646210694741,,,2.462337611941129,secondary_no_simultaneous_classification,False
"qr_geometry_seeds[3418]_rhos[0.0625]_branches[0, 1]",False,[3418],[0.0625],"['cfp', 'oct']",1.3475333101723592,-1.8638350013726717,4.53653667781941,,,1.6301108081972413,secondary_no_simultaneous_classification,False
qr_geometry_seeds[3418]_rhos[0.125]_branches[0],False,[3418],[0.125],['cfp'],1.7968280062488446,-2.91193038032796,6.48239818739205,,,2.3954114433616627,secondary_no_simultaneous_classification,False
qr_geometry_seeds[3418]_rhos[0.125]_branches[1],False,[3418],[0.125],['oct'],3.2312680181349975,-3.1624434735362184,9.825168624859236,,,3.348511078817093,secondary_no_simultaneous_classification,False
"qr_geometry_seeds[3418]_rhos[0.125]_branches[0, 1]",False,[3418],[0.125],"['cfp', 'oct']",2.514048012191921,-1.4915889271933245,6.6311178402741096,,,2.07438366368504,secondary_no_simultaneous_classification,False
qr_geometry_seeds[3418]_rhos[0.25]_branches[0],False,[3418],[0.25],['cfp'],-0.47144439967767937,-4.892377483872521,3.9394036059822617,,,2.2519561367902448,secondary_no_simultaneous_classification,False
qr_geometry_seeds[3418]_rhos[0.25]_branches[1],False,[3418],[0.25],['oct'],0.005863231011574044,-6.147327833828892,6.146801813540375,,,3.1345182700958296,secondary_no_simultaneous_classification,False
"qr_geometry_seeds[3418]_rhos[0.25]_branches[0, 1]",False,[3418],[0.25],"['cfp', 'oct']",-0.23279058433305266,-4.179511266706107,3.7654946274346957,,,2.039634687550182,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3416, 3417, 3418]_rhos[0.0625, 0.125, 0.25]_branches[0]",False,"[3416, 3417, 3418]","[0.0625, 0.125, 0.25]",['cfp'],1.4217404022832616,-0.19771333280846332,3.0503773913465406,,,0.8295193637579563,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3416, 3417, 3418]_rhos[0.0625, 0.125, 0.25]_branches[1]",False,"[3416, 3417, 3418]","[0.0625, 0.125, 0.25]",['oct'],1.0007141896960388,-0.9802657870870529,3.0175345279220247,,,1.0167731574602707,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3416, 3417, 3418]_rhos[0.0625, 0.125, 0.25]_branches[0, 1]",False,"[3416, 3417, 3418]","[0.0625, 0.125, 0.25]","['cfp', 'oct']",1.2112272959896502,-0.18050360290357964,2.5947148691998247,,,0.7073972058161835,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3416, 3417, 3418]_rhos[0.0625]_branches[0]",False,"[3416, 3417, 3418]",[0.0625],['cfp'],3.1491614358429345,0.06061502173228748,6.2817701978338505,,,1.5837628150240755,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3416, 3417, 3418]_rhos[0.0625]_branches[1]",False,"[3416, 3417, 3418]",[0.0625],['oct'],3.2644876029994534,-0.4406980731536578,7.0055779550943225,,,1.9169494815743813,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3416, 3417, 3418]_rhos[0.0625]_branches[0, 1]",False,"[3416, 3417, 3418]",[0.0625],"['cfp', 'oct']",3.206824519421194,0.5964791143621563,5.807922842978725,,,1.3265506335681492,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3416, 3417, 3418]_rhos[0.125]_branches[0]",False,"[3416, 3417, 3418]",[0.125],['cfp'],-0.14226068604964937,-3.1201533226575155,2.870259342115717,,,1.5211750564796285,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3416, 3417, 3418]_rhos[0.125]_branches[1]",False,"[3416, 3417, 3418]",[0.125],['oct'],1.6382804865312863,-2.0188940913325943,5.339679415147352,,,1.8749519439342894,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3416, 3417, 3418]_rhos[0.125]_branches[0, 1]",False,"[3416, 3417, 3418]",[0.125],"['cfp', 'oct']",0.7480099002408185,-1.6651246823566577,3.248042380264289,,,1.2568255143367508,secondary_no_simultaneous_classification,False
