method,rho,seed_subset,difference_pp,ci95_low,ci95_high
Centered-fit SVD / self only,1/4,[3416],0.0,0.0,0.0
Centered-fit SVD / self only,1/4,[3417],0.0,0.0,0.0
Centered-fit SVD / self only,1/4,[3418],0.0,0.0,0.0
Centered-fit SVD / scrambled Radon,1/4,"[3416, 3417, 3418]",1.2954196175205916,-2.5234626856139624,5.112120990579718
Centered-fit SVD / scrambled Radon,1/4,[3416],1.3418510671131867,-3.714137632047343,6.436125566796083
Centered-fit SVD / scrambled Radon,1/4,[3417],3.2736420416232703,-3.041174126332784,9.474102106929184
Centered-fit SVD / scrambled Radon,1/4,[3418],-0.7292342561746823,-6.465389800862842,4.945091527593393
Centered-fit SVD / linear resampling,1/4,"[3416, 3417, 3418]",0.6416537161537189,-2.391534668210718,3.7045232297395096
Centered-fit SVD / linear resampling,1/4,[3416],1.7005762006735758,-3.0206705226606076,6.422917473068703
Centered-fit SVD / linear resampling,1/4,[3417],3.3637546736765334,-1.5913599379861276,8.36858250589355
Centered-fit SVD / linear resampling,1/4,[3418],-3.139369725888952,-8.0484667011246,1.785831961077318
Learned channel / Radon,1/16,"[3416, 3417, 3418]",0.6291672183053709,-1.907031810061865,3.068461206285309
Learned channel / Radon,1/16,[3416],-2.169521867428026,-7.036485033255296,2.5163306356226642
Learned channel / Radon,1/16,[3417],3.0644913235902127,-1.0885624312498428,7.136715453567279
Learned channel / Radon,1/16,[3418],0.992532198753926,-3.366535390382617,5.403058992451077
Learned channel / Self only,1/16,"[3416, 3417, 3418]",0.0,0.0,0.0
Learned channel / Self only,1/16,[3416],0.0,0.0,0.0
Learned channel / Self only,1/16,[3417],0.0,0.0,0.0
Learned channel / Self only,1/16,[3418],0.0,0.0,0.0
Learned channel / Scrambled Radon,1/16,"[3416, 3417, 3418]",-0.922962576700744,-2.513251390353436,0.6716856574474125
Learned channel / Scrambled Radon,1/16,[3416],-2.768887730102232,-7.539754171060308,2.0150569723422374
Learned channel / Scrambled Radon,1/16,[3417],0.0,0.0,0.0
Learned channel / Scrambled Radon,1/16,[3418],0.0,0.0,0.0
Learned channel / Linear resampling,1/16,"[3416, 3417, 3418]",0.0,0.0,0.0
Learned channel / Linear resampling,1/16,[3416],0.0,0.0,0.0
Learned channel / Linear resampling,1/16,[3417],0.0,0.0,0.0
Learned channel / Linear resampling,1/16,[3418],0.0,0.0,0.0
Learned channel / Radon,1/8,"[3416, 3417, 3418]",0.23676729220814355,-3.1793655157700993,3.664592093377555
Learned channel / Radon,1/8,[3416],-1.6855182872362318,-6.731628739959607,3.1932886299681527
Learned channel / Radon,1/8,[3417],4.3941556157977235,-1.0470349932725143,9.742065107795609
Learned channel / Radon,1/8,[3418],-1.998335451937061,-7.427375560221771,3.411275619272914
Learned channel / Self only,1/8,"[3416, 3417, 3418]",0.0,0.0,0.0
Learned channel / Self only,1/8,[3416],0.0,0.0,0.0
Learned channel / Self only,1/8,[3417],0.0,0.0,0.0
Learned channel / Self only,1/8,[3418],0.0,0.0,0.0
Learned channel / Scrambled Radon,1/8,"[3416, 3417, 3418]",2.2560769884060083,-0.6217298919107119,5.149682172417898
Learned channel / Scrambled Radon,1/8,[3416],1.6942487828710884,-3.0300817430385836,6.408489407662022
Learned channel / Scrambled Radon,1/8,[3417],4.372391493923855,-0.09280924292878265,8.824480895971499
Learned channel / Scrambled Radon,1/8,[3418],0.7015906884230816,-3.8806979460684214,5.33647962425276
Learned channel / Linear resampling,1/8,"[3416, 3417, 3418]",0.45911192576194954,-0.7980558578099421,1.7753381673544355
Learned channel / Linear resampling,1/8,[3416],0.0,0.0,0.0
Learned channel / Linear resampling,1/8,[3417],0.0,0.0,0.0
Learned channel / Linear resampling,1/8,[3418],1.3773357772858486,-2.3941675734298267,5.326014502063306
Learned channel / Radon,1/4,"[3416, 3417, 3418]",1.4661977639051453,-2.110082414071343,5.052529753238751
Learned channel / Radon,1/4,[3416],0.32108614108682376,-4.995651827908463,5.706243979612607
Learned channel / Radon,1/4,[3417],4.724475827470087,-0.7125081304229951,10.284693257862582
Learned channel / Radon,1/4,[3418],-0.6469686768414751,-5.798693136625065,4.435734937766402
Learned channel / Self only,1/4,"[3416, 3417, 3418]",-0.35982676526458884,-2.0796665852446696,1.4031607015467313
Learned channel / Self only,1/4,[3416],0.0,0.0,0.0
Learned channel / Self only,1/4,[3417],0.0,0.0,0.0
Learned channel / Self only,1/4,[3418],-1.0794802957937666,-6.238999755734008,4.209482104640194
Learned channel / Scrambled Radon,1/4,"[3416, 3417, 3418]",0.5526023101625643,-3.0381405257801095,4.273484600317434
Learned channel / Scrambled Radon,1/4,[3416],0.013427392221054824,-5.326219784597886,5.339473732977038
Learned channel / Scrambled Radon,1/4,[3417],2.9700241164318464,-2.8054096846712517,8.858848062876444
Learned channel / Scrambled Radon,1/4,[3418],-1.3256445781652082,-6.394049603960309,3.740205416447757
Learned channel / Linear resampling,1/4,"[3416, 3417, 3418]",0.5741411468766907,-1.5305603090919802,2.758329943712145
