model_view_id,checkpoint_sha256,split,condition,metric,paired_minus_perturbed_pp
ebc675997c1454051cdf8b8981d2e67f29dffee8a7f0fe955f48bd1fe41a4ca5,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1,development,disable_cfp_to_oct,mean,18.971127170599722
ebc675997c1454051cdf8b8981d2e67f29dffee8a7f0fe955f48bd1fe41a4ca5,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1,development,disable_both,cfp,22.150454044741107
ebc675997c1454051cdf8b8981d2e67f29dffee8a7f0fe955f48bd1fe41a4ca5,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1,development,disable_both,oct,37.94225434119944
ebc675997c1454051cdf8b8981d2e67f29dffee8a7f0fe955f48bd1fe41a4ca5,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1,development,disable_both,mean,30.04635419297028
ebc675997c1454051cdf8b8981d2e67f29dffee8a7f0fe955f48bd1fe41a4ca5,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1,development,shuffle_oct_to_cfp,cfp,8.874716383439395
ebc675997c1454051cdf8b8981d2e67f29dffee8a7f0fe955f48bd1fe41a4ca5,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1,development,shuffle_oct_to_cfp,oct,0.0
ebc675997c1454051cdf8b8981d2e67f29dffee8a7f0fe955f48bd1fe41a4ca5,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1,development,shuffle_oct_to_cfp,mean,4.437358191719698
ebc675997c1454051cdf8b8981d2e67f29dffee8a7f0fe955f48bd1fe41a4ca5,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1,development,shuffle_cfp_to_oct,cfp,0.0
ebc675997c1454051cdf8b8981d2e67f29dffee8a7f0fe955f48bd1fe41a4ca5,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1,development,shuffle_cfp_to_oct,oct,12.454805876219277
ebc675997c1454051cdf8b8981d2e67f29dffee8a7f0fe955f48bd1fe41a4ca5,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1,development,shuffle_cfp_to_oct,mean,6.2274029381096385
