protocol,structure,backbone_lr,metric,count,mean_percent,sample_sd_pp
branch,linear_resample_M32_S32_k3_r23,3e-05,late_fusion_macro_f1,3,66.99465674728197,4.08415046975431
branch,linear_resample_M32_S32_k3_r23,6e-05,cfp_macro_f1,3,65.7638967918085,1.668046647194092
branch,linear_resample_M32_S32_k3_r23,6e-05,oct_macro_f1,3,65.05660394216072,0.832430483674696
branch,linear_resample_M32_S32_k3_r23,6e-05,branch_mean_macro_f1,3,65.41025036698461,1.2097053357286525
branch,linear_resample_M32_S32_k3_r23,6e-05,primary_macro_f1,3,65.41025036698461,1.2097053357286525
branch,linear_resample_M32_S32_k3_r23,6e-05,late_fusion_macro_f1,3,68.457767395056,3.9961570340051376
branch,radon_M32_S32_k3_r23,3e-05,cfp_macro_f1,3,69.53883296025273,2.5565221679287
branch,radon_M32_S32_k3_r23,3e-05,oct_macro_f1,3,64.50534991516021,0.749069555169942
branch,radon_M32_S32_k3_r23,3e-05,branch_mean_macro_f1,3,67.02209143770648,0.9074832112871032
branch,radon_M32_S32_k3_r23,3e-05,primary_macro_f1,3,67.02209143770648,0.9074832112871032
branch,radon_M32_S32_k3_r23,3e-05,late_fusion_macro_f1,3,67.62359118881677,2.497679218883049
branch,radon_M32_S32_k3_r23,6e-05,cfp_macro_f1,3,68.42235868488443,2.498078670701681
branch,radon_M32_S32_k3_r23,6e-05,oct_macro_f1,3,66.83161933968533,0.4887411604395616
branch,radon_M32_S32_k3_r23,6e-05,branch_mean_macro_f1,3,67.62698901228487,1.4611925084893338
branch,radon_M32_S32_k3_r23,6e-05,primary_macro_f1,3,67.62698901228487,1.4611925084893338
branch,radon_M32_S32_k3_r23,6e-05,late_fusion_macro_f1,3,68.81356420660626,1.7036649162515314
branch,linear_resample_M32_S32_k3_r32,3e-05,cfp_macro_f1,3,66.32273586667748,2.2457415751908654
branch,linear_resample_M32_S32_k3_r32,3e-05,oct_macro_f1,3,64.71001055098235,0.48133870863503075
branch,linear_resample_M32_S32_k3_r32,3e-05,branch_mean_macro_f1,3,65.5163732088299,1.3223768153669666
branch,linear_resample_M32_S32_k3_r32,3e-05,primary_macro_f1,3,65.5163732088299,1.3223768153669666
