id,training_id,seed,arm,regime,rho,r,h,cfp_f1_percent,oct_f1_percent,mean_f1_percent,best_epoch,stop_epoch,prediction_sha256,selected_sha256
seed3418_svd_oct_to_cfp_rho1_8,seed3418_svd_oct_to_cfp_rho1_8,3418,svd_oct_to_cfp,independent_width,0.125,32,1024,63.95220588235294,66.53533865497276,65.24377226866285,4,10,2ab703c2bbdf1040b9f51807c4e33a835fef8bd1324009ee3fc4b9f621089baa,eda7f106aca200a55cb27e09223bca90dbbb760b99ad4c58cfc28e109348703c
seed3418_svd_cfp_to_oct_rho1_8,seed3418_svd_cfp_to_oct_rho1_8,3418,svd_cfp_to_oct,independent_width,0.125,32,1024,65.43956043956044,67.18441053774502,66.31198548865274,4,10,41d071b8f36cbadf6efc1224da194502f8a4303bacbc2122d50f3f2e55bdd7d0,5bb71b089c67e5d00756af25036d2eceb0efe0c917263595a3464519fbb2e464
seed3418_qr_oct_to_cfp_rho1_8,seed3418_qr_oct_to_cfp_rho1_8,3418,qr_oct_to_cfp,independent_width,0.125,32,1024,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,bee82492973c6c7074665044ea3f2e004f4dea1433105ff157a536cc28474c64
seed3418_qr_cfp_to_oct_rho1_8,seed3418_qr_cfp_to_oct_rho1_8,3418,qr_cfp_to_oct,independent_width,0.125,32,1024,66.09082161022775,69.54453996707517,67.81768078865146,12,18,092603655e5ce802c9605e7ee2abe13ba375920640d92c198566b2dd224e8bd8,ea39cf59370cb98ce80cb847b974f1e2133360d1c372765a9ebe8fcb9a2e00cc
seed3418_qr_resample_rho1_4,seed3418_qr_resample_rho1_4,3418,qr_resample,independent_width,0.25,64,2048,68.03308823529413,67.89624504800722,67.96466664165067,5,11,74cbbf948c1bb067489ab77dbe4a67a8858fff2ca9a744fa360bfbc31af3720a,3ce6a44da4e8a68557423b63a360cbed824d09fcb381b77bdec3df1e8a21197f
seed3418_svd_oct_to_cfp_rho1_4,seed3418_svd_oct_to_cfp_rho1_4,3418,svd_oct_to_cfp,independent_width,0.25,64,2048,70.86080586080585,62.69990377125052,66.7803548160282,8,14,3a7d816427d372fd265127ff08279e504d2af5ec1b919a38764b48bd99f785f2,dbd44696d3e4457162b3793692d44a261223a79f80f7f3d0f2027368a0bcf5f8
seed3418_svd_cfp_to_oct_rho1_4,seed3418_svd_cfp_to_oct_rho1_4,3418,svd_cfp_to_oct,independent_width,0.25,64,2048,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,d126d0c0ca950b2a1973baf7d45c5594093668dffcb726a80627c0ba3c94bb9b
seed3418_qr_oct_to_cfp_rho1_4,seed3418_qr_oct_to_cfp_rho1_4,3418,qr_oct_to_cfp,independent_width,0.25,64,2048,70.60508863446985,63.12474998571347,66.86491931009166,5,11,c88ad392da9f9dcd6ad921a93ea1672d77b3881708be8318809c271a3bd3e9d8,ca024114563e3b833359703354c80ba0570b0c4d0d99075f664ad28c04dbecaf
seed3418_qr_cfp_to_oct_rho1_4,seed3418_qr_cfp_to_oct_rho1_4,3418,qr_cfp_to_oct,independent_width,0.25,64,2048,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,dfaa2cb588402d4f22b53ad8d7b1e17b20e6b4aad64023767e76185be3164044
seed3416_mmtm_r4,seed3416_mmtm_r4,3416,mmtm_r4,independent_width,,,,66.8903803131991,65.13545347467608,66.01291689393759,0,8,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,0665407f35f0b11559e5d08546f768afbbeea8ff7c6dbde61d64bf17f91b15bf
seed3416_mmtm_r8,seed3416_mmtm_r8,3416,mmtm_r8,independent_width,,,,66.8903803131991,65.13545347467608,66.01291689393759,0,8,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,d90cfb283dae3088970af3f7eecf39e65088dcb8f5821ae56123bfc48290e064
seed3416_attention_d128,seed3416_attention_d128,3416,attention_d128,independent_width,,,,66.8903803131991,65.13545347467608,66.01291689393759,0,8,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,96f0d105a7988f6e0c41199abb6a9501779b031da95977e29aeba7447405f95c
seed3416_attention_d256,seed3416_attention_d256,3416,attention_d256,independent_width,,,,67.86102062975027,65.20230554128858,66.53166308551943,7,13,27b36fd994018e963ce50d052c9a4be1393642b244bfee8fce77bed70351e79d,48aa63222182f052375492e1a3fb5b2e63efa1dd3ca21818f3c79770f693c1ab
seed3417_mmtm_r4,seed3417_mmtm_r4,3417,mmtm_r4,independent_width,,,,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,7f4e27b24848535ef0c99cceeb1c0324cee79351c26dfe45db7c31efbb99819c
