method,split,branch,field,value,n,mean_error_rate
mmtm_hidden512,validation,cfp,centre,11016,22,0.2727272727272727
mmtm_hidden512,validation,cfp,centre,11018,42,0.3888888888888889
mmtm_hidden512,validation,cfp,centre,11020,44,0.3560606060606061
mmtm_hidden512,validation,cfp,centre,11021,64,0.3385416666666667
mmtm_hidden512,validation,cfp,centre,11024,74,0.34684684684684686
mmtm_hidden512,validation,oct,sex,0,138,0.33816425120772947
mmtm_hidden512,validation,oct,sex,1,158,0.3691983122362869
mmtm_hidden512,validation,oct,label,0,148,0.3400900900900901
mmtm_hidden512,validation,oct,label,1,148,0.36936936936936937
mmtm_hidden512,validation,oct,age_band,60plus,212,0.36477987421383645
mmtm_hidden512,validation,oct,age_band,under60,84,0.32936507936507936
mmtm_hidden512,validation,oct,centre,11014,48,0.3402777777777778
mmtm_hidden512,validation,oct,centre,11016,22,0.5151515151515151
mmtm_hidden512,validation,oct,centre,11018,42,0.38095238095238093
mmtm_hidden512,validation,oct,centre,11020,44,0.2803030303030303
mmtm_hidden512,validation,oct,centre,11021,64,0.359375
mmtm_hidden512,validation,oct,centre,11024,74,0.33783783783783783
mmtm_hidden512,test,cfp,sex,0,118,0.4406779661016949
mmtm_hidden512,test,cfp,sex,1,172,0.38953488372093026
mmtm_hidden512,test,cfp,label,0,145,0.4114942528735632
mmtm_hidden512,test,cfp,label,1,145,0.4091954022988506
mmtm_hidden512,test,cfp,age_band,60plus,186,0.41935483870967744
mmtm_hidden512,test,cfp,age_band,under60,104,0.3942307692307692
mmtm_hidden512,test,cfp,centre,11014,48,0.4097222222222222
mmtm_hidden512,test,cfp,centre,11018,28,0.42857142857142855
mmtm_hidden512,test,cfp,centre,11020,46,0.427536231884058
mmtm_hidden512,test,cfp,centre,11021,60,0.40555555555555556
mmtm_hidden512,test,cfp,centre,11024,90,0.3962962962962963
mmtm_hidden512,test,oct,sex,0,118,0.4350282485875706
mmtm_hidden512,test,oct,sex,1,172,0.4166666666666667
mmtm_hidden512,test,oct,label,0,145,0.40229885057471265
mmtm_hidden512,test,oct,label,1,145,0.4459770114942529
mmtm_hidden512,test,oct,age_band,60plus,186,0.3924731182795699
mmtm_hidden512,test,oct,age_band,under60,104,0.4807692307692308
mmtm_hidden512,test,oct,centre,11014,48,0.375
mmtm_hidden512,test,oct,centre,11018,28,0.47619047619047616
mmtm_hidden512,test,oct,centre,11020,46,0.38405797101449274
mmtm_hidden512,test,oct,centre,11021,60,0.43333333333333335
mmtm_hidden512,test,oct,centre,11024,90,0.4703703703703704
mmtm_hidden1024,validation,cfp,sex,0,138,0.2826086956521739
mmtm_hidden1024,validation,cfp,sex,1,158,0.3987341772151899
mmtm_hidden1024,validation,cfp,label,0,148,0.34234234234234234
mmtm_hidden1024,validation,cfp,label,1,148,0.34684684684684686
mmtm_hidden1024,validation,cfp,age_band,60plus,212,0.36477987421383645
mmtm_hidden1024,validation,cfp,age_band,under60,84,0.29365079365079366
mmtm_hidden1024,validation,cfp,centre,11014,48,0.3263888888888889
mmtm_hidden1024,validation,cfp,centre,11016,22,0.2727272727272727
mmtm_hidden1024,validation,cfp,centre,11018,42,0.3888888888888889
mmtm_hidden1024,validation,cfp,centre,11020,44,0.3560606060606061
mmtm_hidden1024,validation,cfp,centre,11021,64,0.3385416666666667
mmtm_hidden1024,validation,cfp,centre,11024,74,0.34684684684684686
mmtm_hidden1024,validation,oct,sex,0,138,0.33816425120772947
mmtm_hidden1024,validation,oct,sex,1,158,0.3691983122362869
mmtm_hidden1024,validation,oct,label,0,148,0.3400900900900901
mmtm_hidden1024,validation,oct,label,1,148,0.36936936936936937
mmtm_hidden1024,validation,oct,age_band,60plus,212,0.36477987421383645
mmtm_hidden1024,validation,oct,age_band,under60,84,0.32936507936507936
mmtm_hidden1024,validation,oct,centre,11014,48,0.3402777777777778
mmtm_hidden1024,validation,oct,centre,11016,22,0.5151515151515151
mmtm_hidden1024,validation,oct,centre,11018,42,0.38095238095238093
mmtm_hidden1024,validation,oct,centre,11020,44,0.2803030303030303
mmtm_hidden1024,validation,oct,centre,11021,64,0.359375
mmtm_hidden1024,validation,oct,centre,11024,74,0.33783783783783783
mmtm_hidden1024,test,cfp,sex,0,118,0.4406779661016949
mmtm_hidden1024,test,cfp,sex,1,172,0.38953488372093026
mmtm_hidden1024,test,cfp,label,0,145,0.4114942528735632
mmtm_hidden1024,test,cfp,label,1,145,0.4091954022988506
